id,gitname,model_architecture,preds_dataset,run_message,abs_rel,rmse,ppd,abs_rel_std_err,rmse_std_err,ppd_std_err
71,Andrew Healey,pixelperfectdepth,hypersim_processed/test,make_point_cloud_ppd_hypersim,0.3087992944822682,6.112656203921062,893.9623635306507,0.1254174787308745,5.548869420697374,707.4042317148976
72,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,hypersim_processed/test,make_point_cloud_edge_loss_unidepth_hypersim,0.3382500343827445,5.902783874705031,766.5819035288308,0.1634393069454072,5.339773590172998,623.2617935049609
73,Andrew Healey,unidepth,hypersim_processed/test,make_point_cloud_unidepth_hypersim,0.320231732570898,5.976460554616567,896.143148966189,0.1283553608693395,5.369750912331137,681.768640098168
74,Andrew Healey,pixelperfectdepth,hypersim_processed/test,make_point_cloud_ppd_hypersim,0.3104647261309879,6.16042538453121,908.0633760276752,0.1269741517710941,5.5928539826796015,717.7371425701568
75,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,hypersim_processed/test,make_point_cloud_edge_loss_unidepth_hypersim,0.3225469003181633,5.933171234442054,823.462438440811,0.1535207043152031,5.404310249612128,707.6308364892473
76,Andrew Healey,unidepth,hypersim_processed/test,make_point_cloud_unidepth_hypersim,0.320231732570898,5.976460554616567,896.143148966189,0.1283553608693395,5.369750912331137,681.768640098168
77,Andrew Healey,pixelperfectdepth,hypersim_processed/test,make_point_cloud_ppd_hypersim,0.3124367847698505,6.1979036928266895,881.1652589340395,0.1289005731202737,5.636623882679623,697.8669969351856
78,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,make_point_cloud_edge_loss_hypersim,0.3099572658645425,5.671850067773557,1801.64510924066,0.1005468354833289,3.8125364492668905,1244.9061726519951
79,Andrew Healey,zoedepth,hypersim_processed/test,make_point_cloud_zoedepth_hypersim,0.3258032458816914,5.806839622237833,1902.781803727151,0.1016887152298568,3.8743142549166247,1309.0267276838936
80,Andrew Healey,patchrefiner,hypersim_processed/test,make_point_cloud_patchrefiner_hypersim,0.3437326142399878,5.035016545666687,858.7861149015068,0.0779369520371934,3.0222200795428904,650.1513347844318
